[2025-07-03 10:35:04] Key: T | CPU: 0.0% | RAM: 89.7% | Disk: 7767672320 | Net: (26505763, 149201089) | Procs: 208
[2025-07-03 10:35:04] Key: d | CPU: 0.6% | RAM: 89.7% | Disk: 7767672320 | Net: (26505763, 149201151) | Procs: 208
[2025-07-03 10:35:05] Key: k | CPU: 0.6% | RAM: 89.7% | Disk: 7767672320 | Net: (26505763, 149201151) | Procs: 208
[2025-07-03 10:35:05] Key: 6 | CPU: 1.2% | RAM: 89.7% | Disk: 7767672320 | Net: (26505763, 149201213) | Procs: 208
[2025-07-03 10:35:05] Key: W | CPU: 1.9% | RAM: 89.7% | Disk: 7767673856 | Net: (26505763, 149201213) | Procs: 208
[2025-07-03 10:35:06] Key: q | CPU: 4.4% | RAM: 89.7% | Disk: 7767673856 | Net: (26505897, 149201347) | Procs: 208
[2025-07-03 10:35:06] Key: U | CPU: 1.2% | RAM: 89.7% | Disk: 7767673856 | Net: (26505897, 149201347) | Procs: 208
[2025-07-03 10:35:06] Key: 6 | CPU: 3.6% | RAM: 89.7% | Disk: 7767673856 | Net: (26505897, 149201407) | Procs: 208
[2025-07-03 10:35:07] Key: a | CPU: 5.7% | RAM: 89.7% | Disk: 7767675904 | Net: (26505952, 149201527) | Procs: 208
[2025-07-03 10:35:07] Key: a | CPU: 1.9% | RAM: 89.7% | Disk: 7767675904 | Net: (26505952, 149201527) | Procs: 208
[2025-07-03 10:35:07] Key: v | CPU: 1.9% | RAM: 89.7% | Disk: 7767675904 | Net: (26505952, 149201527) | Procs: 208
[2025-07-03 10:35:08] Key: b | CPU: 1.2% | RAM: 89.7% | Disk: 7767675904 | Net: (26505952, 149201527) | Procs: 208
[2025-07-03 10:35:08] Key: M | CPU: 2.5% | RAM: 89.7% | Disk: 7767682560 | Net: (26505994, 149201569) | Procs: 208
[2025-07-03 10:35:08] Key: x | CPU: 2.5% | RAM: 89.7% | Disk: 7767682560 | Net: (26505994, 149201569) | Procs: 208
[2025-07-03 10:35:08] Key: c | CPU: 3.6% | RAM: 89.7% | Disk: 7767682560 | Net: (26505994, 149201771) | Procs: 208
[2025-07-03 10:35:09] Key: 7 | CPU: 1.2% | RAM: 89.7% | Disk: 7767682560 | Net: (26505994, 149201771) | Procs: 208
[2025-07-03 10:35:09] Key: t | CPU: 1.9% | RAM: 89.7% | Disk: 7767689728 | Net: (26505994, 149201771) | Procs: 208
[2025-07-03 10:35:09] Key: Q | CPU: 2.5% | RAM: 89.7% | Disk: 7767689728 | Net: (26505994, 149201831) | Procs: 208
[2025-07-03 10:35:10] Key: E | CPU: 0.6% | RAM: 89.7% | Disk: 7767689728 | Net: (26505994, 149201831) | Procs: 208
[2025-07-03 10:35:10] Key: D | CPU: 3.7% | RAM: 89.7% | Disk: 7767689728 | Net: (26505994, 149201893) | Procs: 208
[2025-07-03 10:35:10] Key: C | CPU: 0.0% | RAM: 89.7% | Disk: 7767689728 | Net: (26505994, 149201893) | Procs: 208
[2025-07-03 10:35:11] Key: o | CPU: 3.1% | RAM: 89.7% | Disk: 7767701504 | Net: (26505994, 149201893) | Procs: 208
[2025-07-03 10:35:11] Key: V | CPU: 1.2% | RAM: 89.7% | Disk: 7767701504 | Net: (26505994, 149201893) | Procs: 208
