cpu_usage,ram_usage,disk_write_bytes,net_sent,net_recv,process_count,keystrokes,mouse_clicks,mouse_moves,label
4.501963912,59.73076179,318583416,51224032,64065994,214,5,1,121,0
6.341895152,55.72188656,266877367,53997514,86381938,229,6,2,107,0
5.751318342,64.92129692,164090240,71297032,72758219,216,2,2,121,0
6.856665357,73.20455245,168374560,79700584,80486983,203,7,2,126,0
4.127266895,73.228488,267257915,49626820,82472268,206,5,2,107,0
4.795978413,58.54763195,402913191,74972293,63673961,230,4,0,109,0
5.804661638,63.19193666,459185858,73224910,67347773,238,1,2,131,0
4.889679737,55.29089746,133651064,48986295,83938870,233,8,1,132,0
6.143272492,74.89077774,257241563,55973303,64530214,205,1,0,128,0
6.277015848,74.5279477,140098225,56386914,81757405,237,5,2,134,0
4.307547892,66.23772324,106636992,79128826,87639692,233,0,1,125,0
5.541563393,70.11035149,364687473,47235676,74928414,214,5,0,127,0
5.526671667,67.87750403,340979776,71966318,79665091,213,5,1,123,0
5.107842311,64.82895548,165207645,53367708,82203892,205,2,1,115,0
6.798774588,51.33369992,193525133,69234813,83801585,236,3,1,117,0
6.48251896,61.36910856,109483101,56800440,65802133,231,3,1,104,0
6.091628146,66.86965755,433978882,63134390,52050538,202,6,2,107,0
6.142979907,66.93829035,489876238,73304470,66075050,202,11,0,98,0
5.385148431,59.32806546,154183814,72166622,76950249,221,3,1,116,0
6.762983563,73.54229967,192590085,74656927,68014015,221,3,1,150,0
6.083786282,54.18392581,447363809,42384693,79958526,209,4,0,114,0
6.186943185,62.50898616,470585519,67682022,64279297,202,3,0,112,0
6.585072711,67.27209941,267850953,45599495,75389765,211,4,1,122,0
4.822214768,67.42839515,120248988,56632742,57456792,228,8,2,117,0
6.421212712,66.21597392,115756733,61943536,79974777,216,2,1,129,0
4.585721809,56.88220534,329579946,56109579,71827838,206,2,1,135,0
5.036025857,53.90516422,257158043,60784467,58162575,212,3,1,122,0
5.006831363,65.89850817,111460971,79861052,61676446,201,1,0,115,0
6.935576405,64.9825529,333300956,45408692,79944348,203,3,0,109,0
6.569611671,54.48390026,104521014,67018241,69304049,209,3,1,129,0
6.103509585,67.62847864,414948783,55840038,58641257,238,5,2,121,0
6.181170285,61.37929979,222573129,45320391,88690847,223,4,1,118,0
5.686218383,66.69401479,116103201,46349470,78605000,216,4,1,126,0
6.841272001,70.93417699,335340888,77970924,88285393,205,5,1,117,0
5.488776259,54.24321071,259073765,75184059,67084201,218,2,1,108,0
5.14155313,50.4786217,489520165,76281678,69004013,204,4,1,125,0
4.489106011,69.47756466,317679465,79661311,85918208,231,7,2,116,0
6.358616957,65.24243563,210095672,48332615,71001973,209,1,2,129,0
6.203331796,67.49098924,383775545,54217573,78291156,208,3,1,119,0
5.153065116,70.95387437,208596801,66768761,60086915,226,4,2,116,0
4.075580242,70.07027337,461697316,59352101,67869058,212,2,2,132,0
6.516991983,74.02300367,249888788,56735581,54937994,218,1,2,120,0
4.03425395,63.39837697,319947425,54312449,58239201,220,6,1,125,0
6.111099339,62.21239082,120229241,63751225,50037736,223,2,2,122,0
6.910771329,60.04718,270448495,63023737,51570602,237,2,1,130,0
5.312983984,53.84227607,432945415,46458313,89091352,203,1,1,122,0
4.704920215,64.31518082,422259522,58869593,59694147,223,2,1,92,0
6.11461303,56.92531311,189727423,62138871,76532428,234,3,1,126,0
6.451384426,73.03268781,190431628,62811477,83563987,202,2,2,122,0
5.639290948,64.57977011,426922124,48404287,72026418,203,6,1,117,0
6.901105826,64.82100451,472159368,69690855,56125780,236,6,0,105,0
4.155006165,58.87311652,138144368,41007963,79124657,239,3,1,140,0
5.514386795,51.2997338,280023455,54193274,74010056,234,5,0,125,0
6.155361842,50.79359413,234981711,71208505,79250023,230,2,1,102,0
6.587921413,60.5833786,448275382,62555716,80789864,224,3,2,124,0
4.537766836,52.11413445,133409965,50446497,89016414,239,4,2,113,0
6.400010445,65.17117389,184450377,67798124,72942531,212,4,1,130,0
5.658121227,72.02432514,400987335,62695637,63665644,203,4,2,121,0
5.189661046,72.07287041,120517539,71849744,75938582,213,0,2,134,0
4.395145086,66.47613525,297014152,69401007,52737628,212,3,1,131,0
6.595887277,55.28079579,276842813,64404316,85895892,226,2,1,105,0
4.471819625,71.57492078,233760471,59527107,54775240,205,5,2,113,0
4.929363578,72.15233588,257828926,45327285,63113713,216,4,0,122,0
4.870136596,54.91633962,311976234,50453320,82629815,235,11,0,121,0
6.614242103,68.43565214,164546943,56763978,73892495,239,4,2,122,0
6.018108983,57.16298872,328798351,63971971,65745420,234,3,1,106,0
6.390044192,70.06600781,422172931,60548314,68937426,216,2,0,118,0
4.751403696,74.9309475,404064371,51527381,84181895,201,9,1,125,0
5.874622299,50.75065013,161559961,40258574,63600175,212,1,2,120,0
5.715237949,72.43414664,159699787,59849568,84785987,201,4,2,114,0
6.49849113,65.56576334,207269747,51425039,53525377,227,7,1,113,0
6.718261181,74.33456548,244429890,69384332,81071937,225,3,2,142,0
4.036470314,61.62523794,263382232,40957850,83901905,221,3,0,113,0
6.022059757,71.18469826,371878886,63393112,57272706,202,6,1,143,0
4.155507397,51.55985171,122672172,77658969,67213861,234,4,1,128,0
5.646575995,58.38197625,113869081,46976370,56619990,211,5,0,108,0
4.862898187,51.67541344,256764225,58865979,78264165,223,9,0,116,0
4.920329799,74.38357834,378865476,43656879,71413910,204,0,2,112,0
5.05887551,70.42434768,177374137,65027276,75412933,219,6,2,104,0
5.863877347,71.31368553,356601792,62021267,57859478,238,5,1,132,0
5.002149897,73.44913079,203931255,56294620,58469834,238,3,1,121,0
6.198097152,52.12758715,454434443,60855080,51659893,212,6,1,141,0
5.213582157,59.63993981,458275977,75862986,62882701,211,3,1,128,0
4.205059601,51.77587223,218914881,47851772,72389786,212,7,0,128,0
6.351279527,55.26982754,191997501,40902580,84317396,209,5,1,128,0
4.857274974,55.73414443,264521588,74466595,76677097,232,7,1,133,0
5.298300639,61.72768028,196212634,63084683,67415852,239,4,2,92,0
6.05633165,56.71405419,368953537,75626338,88124804,215,4,1,89,0
4.997368471,52.52445267,430425873,63877808,78769808,234,2,2,123,0
4.169756968,54.18727723,369236852,72406443,87206608,202,6,0,105,0
5.121763141,53.68188909,429740178,57186934,71103518,204,3,2,138,0
6.833345748,74.32691995,258796864,69994397,60356170,225,5,1,121,0
5.925203192,68.98231267,162526788,76521658,52113067,210,3,2,121,0
6.014437446,74.19403663,395180378,62884918,79043394,206,7,2,105,0
5.896846461,60.99351216,244189802,47231406,54852119,209,4,1,115,0
4.596976417,56.95921204,368508330,50751904,62111005,233,2,1,130,0
5.255001592,69.95732993,208257576,47945783,71298836,202,1,2,120,0
6.252819395,58.15634795,132491853,49874281,72576663,207,3,2,127,0
4.304118693,57.48458434,497032718,52256617,74023327,230,9,1,111,0
4.833558328,55.81264981,162480603,62205351,56650213,210,7,1,124,0
4.828957325,53.24197446,495368397,63519665,65189496,206,6,2,117,0
5.296056783,56.41157653,490911973,57059989,74687769,201,3,1,122,0
6.941106223,58.88299371,417527241,64616831,88792754,205,3,2,117,0
4.20250764,66.8498552,363769184,43262997,79105245,231,5,1,136,0
5.556102983,51.56412106,331122820,43511529,86904150,219,6,2,123,0
4.538094046,55.26267349,446440618,46873178,80488482,233,4,1,142,0
6.912029636,70.22559101,215775808,60723099,73668678,215,3,2,121,0
4.339910514,53.67304809,287072484,48559787,57680934,224,4,0,126,0
5.210803007,58.56612866,347755987,51331376,76667426,211,9,2,123,0
6.213654955,71.61647305,264476190,56012513,74935182,206,3,2,119,0
6.113663284,53.87313278,270994581,72474644,74098766,238,5,2,115,0
5.268185911,52.06842089,232113867,40554485,69591434,216,9,0,121,0
